household,weights,age,numper,education,laborincome,substrans,poverty,urban,order,Region
11011001011,7,44,4,16,1112357,0,0,1,1,1
11011001011,7,39,4,12,1112357,0,0,1,2,1
11011001011,7,6,4,,1112357,0,0,1,3,1
11011001011,7,6,4,,1112357,0,0,1,3,1
11011001031,7,45,3,10,379155,0,0,1,1,1
11011001031,7,20,3,9,379155,0,0,1,4,1
11011001031,7,26,3,10,379155,0,0,1,4,1
11011001041,7,65,3,12,769300,172249,0,1,1,1
11011001041,7,30,3,12,769300,172249,0,1,4,1
11011001041,7,33,3,12,769300,172249,0,1,4,1
11011001061,7,81,2,10,300000,70350,0,1,1,1
11011001061,7,77,2,10,300000,70350,0,1,2,1
11011001071,7,60,6,12,1380889,7170,0,1,1,1
11011001071,7,58,6,12,1380889,7170,0,1,2,1
11011001071,7,23,6,16,1380889,7170,0,1,3,1
11011001071,7,7,6,,1380889,7170,0,1,9,1
11011001071,7,32,6,15,1380889,7170,0,1,13,1
11011001071,7,11,6,,1380889,7170,0,1,13,1
11011001081,7,58,2,17,848807,0,0,1,1,1
11011001081,7,45,2,12,848807,0,0,1,2,1
11011001091,7,55,1,8,287140,0,0,1,1,1
11011001101,7,26,2,17,820400,0,0,1,1,1
11011001101,7,36,2,12,820400,0,0,1,2,1
11011001111,7,56,2,10,266630,0,0,1,1,1
11011001111,7,54,2,11,266630,0,0,1,2,1
11011001141,7,39,6,17,2073813,0,0,1,1,1
11011001141,7,13,6,,2073813,0,0,1,4,1
11011001141,7,39,6,17,2073813,0,0,1,2,1
11011001141,7,20,6,14,2073813,0,0,1,13,1
11011001141,7,50,6,19,2073813,0,0,1,13,1
11011001141,7,20,6,15,2073813,0,0,1,4,1
11011002021,25,43,6,17,2301060,234500,0,1,1,1
11011002021,25,42,6,16,2301060,234500,0,1,2,1
11011002021,25,15,6,9,2301060,234500,0,1,3,1
11011002021,25,12,6,,2301060,234500,0,1,3,1
11011002021,25,9,6,,2301060,234500,0,1,3,1
11011002021,25,41,6,12,2301060,234500,0,1,13,1
11011002061,25,21,1,11,175840,0,0,1,1,1
11011003041,19,52,3,12,1178437,0,0,1,1,1
11011003041,19,57,3,12,1178437,0,0,1,10,1
11011003041,19,26,3,12,1178437,0,0,1,12,1
11011003061,19,84,5,5,647488,70350,0,1,1,1
11011003061,19,82,5,5,647488,70350,0,1,2,1
11011003061,19,56,5,10,647488,70350,0,1,3,1
11011003061,19,38,5,17,647488,70350,0,1,3,1
11011003061,19,52,5,5,647488,70350,0,1,3,1
11011004021,12,51,1,5,89000,18760,0,1,1,1
11011004031,12,25,2,12,65000,0,1,1,1,1
11011004031,12,0,2,,65000,0,1,1,4,1
11011004041,12,34,3,15,1337681,0,0,1,1,1
11011004041,12,32,3,12,1337681,0,0,1,2,1
11011004041,12,13,3,,1337681,0,0,1,3,1
11011004081,12,56,2,14,730202,0,0,1,1,1
11011004081,12,28,2,9,730202,0,0,1,2,1
11011005021,13,33,2,12,499130,0,0,1,1,1
11011005021,13,40,2,8,499130,0,0,1,2,1
11011005031,13,25,2,12,676246,0,0,1,1,1
11011005031,13,21,2,12,676246,0,0,1,2,1
11011005041,13,57,7,6,3216700,558757,0,1,1,1
11011005041,13,63,7,6,3216700,558757,0,1,2,1
11011005041,13,23,7,14,3216700,558757,0,1,3,1
11011005041,13,30,7,16,3216700,558757,0,1,12,1
11011005041,13,28,7,15,3216700,558757,0,1,12,1
11011005041,13,4,7,,3216700,558757,0,1,12,1
11011005041,13,1,7,,3216700,558757,0,1,12,1
11011005111,13,28,3,17,2530416,0,0,1,1,1
11011005111,13,24,3,12,2530416,0,0,1,2,1
11011005111,13,0,3,,2530416,0,0,1,3,1
11011005121,13,80,2,12,112000,39821,0,1,1,1
11011005121,13,21,2,15,112000,39821,0,1,9,1
11011005151,13,30,2,18,1658438,0,0,1,1,1
11011005151,13,27,2,12,1658438,0,0,1,2,1
11011005181,13,39,4,14,1049203,0,0,1,1,1
11011005181,13,39,4,17,1049203,0,0,1,2,1
11011005181,13,6,4,,1049203,0,0,1,3,1
11011005181,13,7,4,,1049203,0,0,1,3,1
11011005201,13,71,2,8,720000,0,0,1,1,1
11011005201,13,71,2,12,720000,0,0,1,2,1
11011005251,13,38,5,12,1086199,219149,0,1,1,1
11011005251,13,36,5,12,1086199,219149,0,1,2,1
11011005251,13,11,5,,1086199,219149,0,1,3,1
11011005251,13,2,5,,1086199,219149,0,1,3,1
11011005251,13,58,5,6,1086199,219149,0,1,7,1
