Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Afghanistan,AFG,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Africa Eastern and Southern,AFE,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Africa Eastern and Southern,AFE,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Africa Western and Central,AFW,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Africa Western and Central,AFW,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Albania,ALB,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,4.9,..,..,..,..
Albania,ALB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,19.9,..,..,..,..
Algeria,DZA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Algeria,DZA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
American Samoa,ASM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
American Samoa,ASM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Andorra,AND,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Andorra,AND,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Angola,AGO,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Angola,AGO,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Antigua and Barbuda,ATG,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Antigua and Barbuda,ATG,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Arab World,ARB,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Arab World,ARB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Argentina,ARG,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,6.2,4.6,4.2,5,..
Argentina,ARG,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,18.3,14.2,13.9,16.4,..
Armenia,ARM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,16.2,16.4,17,16.4,..
Armenia,ARM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,58.2,57,55.7,56.9,..
