s2aq2,s2aq4,weight,exp,lnw
P2,No,344.31,23,
JSS3/JHS3,No,344.31,1,
P1,Yes,344.31,-9,
None,Yes,344.31,-11,
M4,No,344.31,30,
P2,No,344.31,10,
None,Yes,344.31,-8,
.,.,344.31,,
.,.,344.31,,
P3,No,344.31,4,
P1,Yes,344.31,-7,
None,Yes,344.31,-8,
None,Yes,344.31,-9,
.,.,344.31,,
.,.,,,
M4,No,344.31,26,
.,.,,,
.,.,,,
JSS1/JHS1,No,344.31,27,
Pre school,No,344.31,20,
SS1/SHS1,Yes,344.31,5,
P5,No,344.31,4,
P3,Yes,344.31,-2,
None,Yes,344.31,-11,
.,.,,,
tech training,No,344.31,10,
SSS3/SHS3,No,344.31,5,
.,.,,,
P4,No,344.31,32,
P2,No,344.31,13,
P4,No,344.31,10,
SSS3/SHS3,No,344.31,40,
tech training,No,344.31,35,8.188689
SSS3/SHS3,No,344.31,1,
SS1/SHS1,Yes,344.31,7,
SSS3/SHS3,Yes,344.31,0,
JSS1/JHS1,No,344.31,12,
JSS3/JHS3,No,344.31,9,
None,Yes,344.31,-10,
.,.,,,
M4,No,344.31,22,7.495542
M4,No,344.31,20,
SS1/SHS1,Yes,344.31,3,
JSS/JHS 2,Yes,344.31,-4,
P4,Yes,344.31,-5,
Pre school,Yes,344.31,-7,
M4,No,344.31,61,
.,.,,,
.,.,,,
JSS3/JHS3,No,344.31,10,
SSS3/SHS3,Yes,344.31,4,
SSS3/SHS3,No,344.31,14,
JSS3/JHS3,No,344.31,14,
P1,Yes,344.31,-7,
.,.,,,
SS1/SHS1,No,344.31,19,
P1,Yes,344.31,-7,
M4,No,349.602,25,7.783224
JSS3/JHS3,No,349.602,20,7.495542
Pre school,Yes,349.602,-9,
Pre school,Yes,349.602,-9,
None,Yes,349.602,-12,
JSS3/JHS3,No,349.602,6,
P4,Yes,349.602,-3,
P4,Yes,349.602,-6,
JSS3/JHS3,Yes,349.602,3,
.,.,349.602,,8.517993
SS1/SHS1,Yes,349.602,4,
M4,No,349.602,32,7.090077
JSS3/JHS3,No,349.602,21,7.495542
JSS3/JHS3,No,349.602,18,
P6,Yes,349.602,-4,
P3,Yes,349.602,-6,
None,Yes,349.602,-10,
P6,Yes,349.602,-1,
P1,Yes,349.602,-7,
M4,No,349.602,54,7.272398
M2,No,349.602,43,7.090077
P6,No,349.602,32,
P4,No,349.602,6,
P5,No,349.602,4,
.,.,349.602,,
P4,No,349.602,2,
Nursing,No,349.602,9,8.699514
P6,No,349.602,4,
JSS3/JHS3,No,349.602,11,
P3,No,349.602,20,8.251664
P6,Yes,349.602,4,
P2,Yes,349.602,-3,
None,Yes,349.602,-8,
None,Yes,349.602,-8,
JSS1/JHS1,No,349.602,14,
Pre school,Yes,349.602,-4,
SSS3/SHS3,No,349.602,8,8.699514
JSS3/JHS3,No,349.602,16,8.716044
.,.,,,
P2,Yes,349.602,-1,
.,.,349.602,,7.863113
.,.,349.602,,
JSS1/JHS1,Yes,349.602,1,
P6,Yes,349.602,3,
P5,No,349.602,5,
P1,Yes,349.602,-5,
.,.,349.602,,
P4,Yes,349.602,-4,
None,Yes,349.602,-11,
None,Yes,349.602,-10,
.,.,,,
.,.,349.602,,
M1,No,349.602,37,7.090077
.,.,349.602,,6.579251
JSS3/JHS3,No,349.602,9,6.866933
JSS3/JHS3,No,349.602,5,
JSS3/JHS3,No,349.602,3,
P5,Yes,349.602,-4,
.,.,349.602,,
P2,No,349.602,36,6.214608
