County,2021,2022,2023
Allegany,"47,462","46,913","49,182"
Anne Arundel,"77,764","79,335","84,019"
Baltimore,"67,143","70,461","74,738"
Calvert,"68,843","71,427","76,018"
Caroline,"54,180","56,902","56,447"
Carroll,"69,623","70,695","74,895"
Cecil,"55,614","56,261","59,373"
Charles,"62,048","63,063","66,642"
Dorchester,"55,579","55,896","57,060"
Frederick,"69,770","71,670","76,664"
Garrett,"53,377","53,861","57,525"
Harford,"66,466","67,325","71,196"
Howard,"86,486","90,055","95,529"
Kent,"69,328","72,498","77,025"
Montgomery,"90,696","94,474","100,044"
Prince George's,"53,353","54,605","57,096"
Queen Anne's,"77,455","79,258","83,650"
St. Mary's,"64,999","66,497","70,353"
Somerset,"36,982","40,018","37,345"
Talbot,"84,902","91,670","98,166"
Washington,"53,079","53,502","56,174"
Wicomico,"46,638","47,904","48,596"
Worcester,"64,317","66,552","68,163"
Baltimore City,"58,764","60,799","64,357"
