County,2020,2021,2022,2023
Allegany,"2,859,022","2,850,520","2,757,540","2,686,150"
Anne Arundel,"48,721,149","51,574,224","52,170,062","52,855,578"
Baltimore,"51,947,827","53,996,350","56,636,652","56,988,352"
Calvert,"4,521,604","4,200,627","4,446,546","4,437,122"
Caroline,"1,066,095","1,218,687","1,275,695","1,178,947"
Carroll,"6,099,556","6,282,433","6,522,484","6,678,160"
Cecil,"4,784,614","4,954,263","5,204,691","5,480,881"
Charles,"5,762,910","5,924,145","5,999,838","6,092,222"
Dorchester,"1,277,510","1,380,648","1,441,872","1,321,022"
Frederick,"13,480,352","14,346,344","14,677,223","15,401,837"
Garrett,"1,268,424","1,330,311","1,263,290","1,312,205"
Harford,"13,015,931","13,506,258","13,422,457","13,702,502"
Howard,"27,352,389","29,151,362","29,094,221","30,108,718"
Kent,"915,898","936,172","955,668","970,030"
Montgomery,"88,909,025","92,408,031","93,795,117","95,022,737"
Prince George's,"44,491,617","46,521,649","47,945,585","48,649,645"
Queen Anne's,"1,761,474","2,064,259","2,066,944","2,077,194"
St. Mary's,"7,881,704","7,905,014","7,910,394","8,198,447"
Somerset,"797,395","848,610","968,604","797,479"
Talbot,"1,893,535","1,983,606","2,028,455","2,119,369"
Washington,"6,602,008","7,133,982","7,085,588","7,232,578"
Wicomico,"4,908,251","5,288,244","5,451,037","5,451,770"
Worcester,"2,554,325","2,911,981","3,004,979","2,957,157"
Baltimore City,"45,928,314","48,268,875","50,269,912","51,151,033"
